fondo,2025-05-30,2025-06-30,2025-07-31,2025-08-29,2025-09-30,2025-10-31,2025-11-28,2025-12-30,2026-01-30,2026-02-27,2026-03-31
Argenfunds Renta Variable - Clase B,8.4089,-12.3375,16.1642,-14.7113,-11.7757,69.6065,0.5984,0.8038,4.112,-17.9128,13.8683
Consultatio Renta Variable - Clase A,8.0199,-12.1804,16.5941,-14.1605,-11.1362,67.165,0.2066,1.7161,5.193,,
Consultatio Renta Variable - Clase B,8.1087,-12.1058,16.6931,-14.0903,-11.0544,67.3141,0.2874,1.8098,5.2869,,
Consultatio Renta Variable - Clase C,8.3191,-11.929,16.9278,-13.9307,-10.8737,67.6435,0.4656,2.0167,5.4941,,
HF Acciones Argentinas - Clase G,7.3268,-12.2646,16.719,-14.62,-12.9,69.4944,,,,,
HF Acciones Argentinas - Clase I,7.4463,-12.1637,16.8531,-14.5282,-12.7967,69.6892,,,,,
IAM Renta Variable - Clase A,8.2885,-12.1618,13.9347,-14.3773,-12.3896,66.3264,-0.3181,0.9689,3.5039,-17.4123,13.6743
IAM Renta Variable - Clase B,8.3064,-12.1469,13.9541,-14.3637,-12.3742,66.3548,-0.3028,0.9867,3.5215,-17.3996,13.6943
IAM Renta Variable - Clase C,8.2885,-12.1618,13.9346,-14.3773,-12.3896,66.3264,-0.3181,0.9689,3.5039,-17.4123,13.6743
IAM Renta Variable - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEGAQM Acciones - Clase A,7.6927,-12.2128,15.5239,-14.6298,-10.89,69.4349,-0.5428,0.8415,4.7221,-17.5031,14.1916
MEGAQM Acciones- Clase B,7.8188,-12.1065,15.6637,-14.5331,-10.7786,69.64,-0.434,0.9676,4.8488,-17.413,14.3343
MEGAQM Acciones- Clase Ley Nº 27.743,7.6926,-12.2128,15.5239,-14.6299,-10.89,69.4348,-0.5427,0.8415,5.851,0.0,0.0
Rofex 20 Renta Variable - Clase A,8.6813,-12.3132,16.725,-14.9502,-10.8431,67.3884,-0.2684,0.7866,4.4753,-17.2997,13.1055
Rofex 20 Renta Variable - Clase B,8.7037,-12.2946,16.7498,-14.9015,-10.7607,67.5381,-0.1878,0.8796,4.5687,-17.2329,13.2099
Rofex 20 Renta Variable - Clase C,8.7171,-12.2834,16.7647,-14.8893,-10.7451,67.5666,-0.1725,0.8973,4.5865,-17.2202,13.2298
Rofex 20 Renta Variable - Clase D,8.9063,-12.1254,16.9747,-14.746,-10.5795,67.8678,-0.0101,1.0846,4.7747,-17.0858,13.4401
Argenfunds Renta Variable - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argenfunds Renta Variable - Clase F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpha Mega - Clase A,8.0807,-12.9721,15.9562,-14.5215,-11.6159,69.1043,0.9277,0.7322,3.7694,-17.42,12.8368
Alpha Mega - Clase B,7.799,-13.2065,15.6439,-14.7369,-11.8616,68.6489,0.6821,0.4522,3.4954,-17.5796,12.5877
Alpha Mega - Clase C,7.799,-13.2065,15.6439,-14.7368,-11.8616,68.6488,0.6821,0.4522,3.4918,-17.6064,12.5458
Alpha Mega - Clase D,-1.2559,0.0497,-12.2194,0.0936,-9.2582,1.3104,0.0655,-0.3422,1.4584,2.7744,-0.1509
Alpha Mega - Clase E,6.4453,-13.1637,1.5136,-14.6576,-20.0212,70.8584,0.7481,0.1083,5.0012,-15.3206,12.3758
Alpha Mega - Clase I,-1.2507,0.0404,-12.2155,0.0921,-9.2581,1.3176,0.0667,-0.3499,1.4546,2.7851,-0.1603
Alpha Mega - Clase J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
